Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,deployment,n_samples,num_shots,prompt_name,seed,segmenter,split,temperature,exact_match/mean,f1_score/mean,negative_ratio/mean,positive_ratio/mean,precision/mean,recall/mean
2024-09-08 23:11:43,23.9min,547a51349445406b9e5e1a9522f5fba5,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,2,nbme,test,0.1,0.8300666666666667,0.9078745112189769,0.9091,1.0086,0.8765333333333333,0.9521
2024-09-08 23:00:35,23.3min,c6fc8d645cb842c69a6a01ddec9728fc,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,3,spacy,test,0.1,0.7673,0.9254621454337657,0.9210666666666666,1.0031333333333334,0.8931333333333333,0.9693333333333334
2024-09-08 22:47:36,24.1min,1084a65f52de40a3bdd0ab987ed394a7,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,1,nbme,test,0.1,0.8266666666666667,0.9079638448079478,0.9015333333333333,1.0322666666666667,0.8671,0.9627333333333333
2024-09-08 22:37:48,22.8min,0f242bbdc8534bf29998d9c0fba2ac98,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,2,spacy,test,0.1,0.7678,0.9237110006632718,0.9080666666666667,1.0070333333333334,0.8885666666666666,0.9714999999999999
2024-09-08 22:23:27,24.1min,4393f0e3a0214355a8d646dae24ed492,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,5,nbme,test,0.1,0.8204666666666666,0.9066537711815316,0.8932666666666668,1.0330333333333335,0.8653,0.9627333333333333
2024-09-08 22:14:36,23.2min,7f1b49d9da9940ceac0a1aa9dba1ab42,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,1,spacy,test,0.1,0.7561333333333333,0.9240291885319942,0.9016000000000001,1.0054,0.8864333333333334,0.9739333333333333
2024-09-08 21:59:58,23.5min,bde82d9d485e48ba865d14d4e2be7e07,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,4,nbme,test,0.1,0.8199666666666667,0.9052266718187466,0.8937333333333334,1.0202333333333333,0.8677,0.9569
2024-09-08 21:52:02,22.6min,77b3a78bcd2e480a84156934916a5783,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,5,spacy,test,0.1,0.7628,0.9234839137786625,0.9070666666666667,0.9901666666666668,0.8903666666666668,0.9686333333333332
2024-09-08 21:36:13,23.8min,3cbeca37baa947f58a2a66fdbadba2d9,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,3,nbme,test,0.1,0.8238,0.9047049200809886,0.9099,1.0180666666666667,0.8731666666666666,0.9504666666666666
2024-09-08 21:29:08,22.9min,6feb6b3d208d4210b790d90197b18ffa,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,4,spacy,test,0.1,0.7565666666666666,0.9243008068274524,0.9015333333333333,1.0016666666666667,0.8877,0.9737333333333333
