Run ID;num_shots;prompt_name;seed;exact_match/mean;f1_score/mean;negative_ratio/mean;positive_ratio/mean;precision/mean;recall/mean
4965d2b761124876851828dd7575df3b;2;loft-v2;2;0.8378576067677057;0.9164004436886841;0.9205004339342575;1.0130783249974427;0.8802902397167103;0.9667584128834128
8568dbbfef9c412c9b30d1d26daa19fc;3;loft-with-instructions;4;0.7857322797204241;0.8151523531652133;0.9598393074790134;0.7901332520964874;0.8791924001924002;0.796794585044585
c1253bb4499f44fc84036a679d40e8ec;2;loft-v2;1;0.8293377203267162;0.911050117987302;0.9060277307115543;1.0322686161877337;0.8677523899818791;0.9698269785769785
51031e6dba604e73b8e03ed90f110b46;3;loft-with-instructions;3;0.706619732983473;0.5867835789933715;0.982084040959041;0.42280234335381395;0.8440068126318127;0.4951897269397269
77aec0e209fd49d2a4c31c439e7ddb1d;1;loft-v2;5;0.8359591208504085;0.9121062658399127;0.9207940509925804;1.0004114197349492;0.8796521196668257;0.9580099992599992
af6322a5044443e086e4258583d7c61d;3;loft-with-instructions;2;0.7509643462635588;0.7078258489869811;0.9728303964553965;0.5851770223240811;0.8706363647246;0.6446498408998409
53ba0ecf5edf445c84b5c81f339d9922;1;loft-v2;4;0.8289211026873398;0.9072555358856408;0.9157253617841853;1.0109756550638904;0.8718948026374498;0.9568455710955711
2715f8ee75ea4cdfa4dd36cea9295731;3;loft-with-instructions;1;0.7903821789225914;0.8223950362902397;0.9606117942515001;0.7962304748628277;0.8842866855366855;0.8049698912198913
ba3014e711ea4b1a8b1c86d154c2b7cd;1;loft-v2;3;0.8313402021022057;0.9079141609184314;0.9267822275763452;1.0031211114593468;0.877678758061111;0.9515557775557776
2b65d7a4078d4cadac1572765d42cfa7;2;loft-with-instructions;5;0.6841153400974271;0.5364725181154377;0.9814426406926406;0.37499383106000755;0.8077533300033299;0.4449607707107707
28787d6dad9840bb9c1bee9b3d7d7191;1;loft-v2;2;0.8355456227508152;0.9112143334673368;0.9235847061435297;0.9973148033883329;0.8816780585971763;0.9536463258963259
0d8d213db49043fd8a09afd612f8418f;2;loft-with-instructions;4;0.7672311897035178;0.8061486193051673;0.9489321669615788;0.7910503083517789;0.8629192748972162;0.7925728715728716
19043b2b625943a2a53c0bb6bb021d2e;1;loft-v2;1;0.8293949026718983;0.9081162161421826;0.9135781631222809;1.008115123438653;0.8742663371486902;0.9561066433566433
ccb03022995045bf850d515941354de6;2;loft-with-instructions;3;0.6788765996023938;0.5312979035666476;0.9827987845487844;0.3786063204224969;0.8031361971361971;0.44108134458134457
acb7b65e961642f69af1631870b8cbae;0;loft-v2;5;0.7970173182170726;0.8661451311296802;0.9737467287614346;0.8330414582693995;0.9046263412513411;0.8456264615014615
3a3f9675a7644e01aeba169f56ab4266;2;loft-with-instructions;2;0.7387004801703584;0.7028749005559052;0.9714055666555667;0.5924242954757661;0.86407298638181;0.6418181170681171
cde1e42857704cfdb06165c60dcb3c73;0;loft-v2;4;0.7849091530470148;0.8540802648658583;0.975510246289658;0.8344941523617994;0.8933067183361302;0.8339306018056019
